state	x	y
Ladakh	-107	238
Jammu & Kashmir	-149	217
Himachal Pradesh	-104	185
Punjab	-139	167
Haryana	-120	138
Uttarakhand	-74	152
Delhi	-96	120
Uttar Pradesh	-72	103
Rajasthan	-199	88
Bihar	37	74
Sikkim	90	112
Arunanchal Pradesh	174	136
Assam	139	92
Meghalaya	129	70
Nagaland	196	88
Manipur	183	59
Mizoram	170	29
Tripura	139	39
West Bengal	76	26
Jharkand	22	37
Madhya Pradesh	-133	16
Gujrat	-225	15
Odisha	15	-35
Chhatisgarh	-28	-16
Maharashtra	-165	-51
Telangana	-82	-80
Andhra Pradesh	-89	-125
Karnataka	-139	-162
Goa	-168	-121
Kerala	-125	-230
Tamil Nadu	-87	-207
